cargo_id,origin,destination,weight_kg,volume_m3,revenue_inr,priority,perishable,max_transit_hours,ready_time,due_by,handling_cost_per_kg,sla_penalty_per_hour
C001,IXR,DXB,2500,12,520000,High,True,36,2025-03-01T04:00:00+05:30,2025-03-02T06:00:00+04:00,4,9000
C002,IXR,DEL,1500,8,180000,Medium,False,48,2025-03-01T02:00:00+05:30,2025-03-02T05:30:00+05:30,3,2500
C003,DEL,DXB,4000,18,690000,High,False,30,2025-03-01T08:00:00+05:30,2025-03-02T00:00:00+04:00,5,8000
C004,DEL,BLR,1800,9,210000,Low,False,40,2025-03-01T06:30:00+05:30,2025-03-02T12:30:00+05:30,2,2000
C005,IXR,BLR,2200,11,260000,Medium,True,28,2025-03-01T05:00:00+05:30,2025-03-02T08:00:00+05:30,3,6000
C006,BLR,DEL,3000,14,320000,High,False,24,2025-03-01T13:00:00+05:30,2025-03-02T06:00:00+05:30,4,7500
C007,DXB,DEL,3500,16,580000,Medium,False,30,2025-03-01T15:00:00+04:00,2025-03-02T10:00:00+05:30,4,7000
C008,DEL,IXR,1600,7,175000,Low,False,36,2025-03-01T07:00:00+05:30,2025-03-02T10:00:00+05:30,3,2500
C009,BLR,DXB,4200,20,750000,High,True,30,2025-03-01T12:00:00+05:30,2025-03-02T04:00:00+04:00,5,9500
C010,IXR,DEL,1400,6,160000,Medium,False,36,2025-03-01T03:00:00+05:30,2025-03-02T07:00:00+05:30,3,2500
C011,DEL,BLR,8500,45,890000,High,False,32,2025-03-01T09:00:00+05:30,2025-03-02T11:00:00+05:30,6,12000
C012,IXR,DXB,6800,35,720000,High,True,28,2025-03-01T06:00:00+05:30,2025-03-02T02:00:00+04:00,5,11000
C013,BLR,DEL,5200,28,580000,Medium,False,36,2025-03-01T14:00:00+05:30,2025-03-02T08:00:00+05:30,4,8500
C014,DXB,BLR,7800,42,950000,High,False,30,2025-03-01T16:00:00+04:00,2025-03-02T01:00:00+05:30,6,13000
C015,DEL,IXR,3200,18,420000,Medium,True,24,2025-03-01T10:00:00+05:30,2025-03-02T04:00:00+05:30,4,6500
C016,IXR,BLR,9500,52,1100000,High,False,30,2025-03-01T07:00:00+05:30,2025-03-02T09:00:00+05:30,7,15000
C017,BLR,DXB,6100,33,680000,Medium,True,26,2025-03-01T15:30:00+05:30,2025-03-02T03:30:00+04:00,5,10000
C018,DEL,DXB,7200,38,850000,High,False,28,2025-03-01T11:30:00+05:30,2025-03-02T01:30:00+04:00,6,12500
C019,DXB,DEL,5800,31,620000,Medium,False,32,2025-03-01T17:00:00+04:00,2025-03-02T11:00:00+05:30,5,9000
C020,IXR,DEL,2800,15,380000,Low,False,40,2025-03-01T04:30:00+05:30,2025-03-02T06:30:00+05:30,3,5500
C021,DEL,BLR,1200,6,150000,Low,False,36,2025-03-01T08:30:00+05:30,2025-03-02T10:30:00+05:30,2,3000
C022,BLR,IXR,900,4,120000,Low,True,28,2025-03-01T16:00:00+05:30,2025-03-02T02:00:00+05:30,2,2500
C023,IXR,DXB,1800,9,280000,Medium,False,30,2025-03-01T05:30:00+05:30,2025-03-02T01:30:00+04:00,3,5000
C024,DXB,BLR,2400,12,320000,Low,False,34,2025-03-01T18:00:00+04:00,2025-03-02T04:00:00+05:30,3,4500
C025,DEL,IXR,1100,5,140000,Low,True,26,2025-03-01T09:30:00+05:30,2025-03-02T05:30:00+05:30,2,2800
C026,DEL,DXB,12000,65,1500000,High,False,30,2025-03-01T11:00:00+05:30,2025-03-02T01:00:00+04:00,8,18000
C027,IXR,DXB,13500,72,1650000,High,True,32,2025-03-01T06:00:00+05:30,2025-03-02T02:00:00+04:00,9,20000
C028,BLR,DXB,11000,58,1350000,Medium,False,28,2025-03-01T15:00:00+05:30,2025-03-02T03:00:00+04:00,7,16000
C029,DXB,DEL,14000,75,1700000,High,False,34,2025-03-01T18:00:00+04:00,2025-03-02T11:00:00+05:30,10,22000
C030,DEL,BLR,10500,55,1250000,Medium,True,26,2025-03-01T10:00:00+05:30,2025-03-02T12:00:00+05:30,6,14000
C031,IXR,BLR,12500,68,1450000,High,False,30,2025-03-01T07:00:00+05:30,2025-03-02T09:00:00+05:30,8,19000
C032,BLR,IXR,11500,62,1300000,Medium,False,32,2025-03-01T16:00:00+05:30,2025-03-02T02:00:00+05:30,7,17000
C033,DEL,DXB,13000,70,1550000,High,True,28,2025-03-01T12:00:00+05:30,2025-03-02T02:00:00+04:00,9,21000
C034,DXB,BLR,11800,63,1400000,Medium,False,30,2025-03-01T19:00:00+04:00,2025-03-02T04:00:00+05:30,8,18500
C035,IXR,DEL,10800,57,1200000,Low,False,36,2025-03-01T05:00:00+05:30,2025-03-02T07:00:00+05:30,6,15000
C036,BLR,DEL,12200,66,1420000,Low,True,24,2025-03-01T14:00:00+05:30,2025-03-02T08:00:00+05:30,7,17500
C037,DEL,IXR,11200,60,1280000,Low,False,28,2025-03-01T09:00:00+05:30,2025-03-02T05:00:00+05:30,7,16500
C038,DXB,DEL,13800,74,1680000,Low,False,32,2025-03-01T20:00:00+04:00,2025-03-02T12:00:00+05:30,9,20500
C039,IXR,DXB,11600,61,1380000,Low,True,34,2025-03-01T08:00:00+05:30,2025-03-02T04:00:00+04:00,8,18000
C040,BLR,DXB,12400,67,1460000,Low,False,26,2025-03-01T17:00:00+05:30,2025-03-02T05:00:00+04:00,8,19000
CH07,DXB,BLR,34.0,34.0,70000.0,High,false,24.0,2025-03-01T06:00:00+05:30,2025-03-02T07:00:00+05:30,3.0,2000.0
